0,Xgboost,is_preceded_by,Rstudio,0.899080017,81,Q23793561,Q4798119
1,Xgboost,is_preceded_by,sklearn,0.89118853,73,Q23793561,Q1026367
2,Xgboost,is_preceded_by,Elasticsearch,0.901185751,72,Q23793561,Q3050461
3,Xgboost,is_preceded_by,Plotly,0.886901076,71,Q23793561,Q17146476
4,Xgboost,is_preceded_by,TensorFlow,0.898042624,70,Q23793561,Q21447895
5,Xgboost,is_preceded_by,Git_and_GitHub,0.874277357,67,Q23793561,Q186055
6,Xgboost,is_preceded_by,AutoKeras,0.862694801,55,Q23793561,Q28470421
7,Xgboost,is_preceded_by,React_(Javascript_Library),0.842229843,52,Q23793561,Q19399674
8,Xgboost,is_preceded_by,Natural_Language_Toolkit_(NLTK),0.823545392,45,Q23793561,Q1635410
9,Xgboost,is_preceded_by,Inventor,0.81216719,43,Q23793561,Q735441
10,Xgboost,is_preceded_by,R_and_RStudio,0.793770027,40,Q23793561,Q206904
11,Xgboost,is_preceded_by,Catia,0.801408793,38,Q23793561,Q467731
13,Xgboost,is_preceded_by,Tableau_Software,0.750595465,32,Q23793561,Q7673435
14,Xgboost,is_preceded_by,Scope_(computer_science),0.733710381,31,Q23793561,Q1034415
15,Xgboost,is_preceded_by,Linux_Command_Line,0.679699933,27,Q23793561,Q388
16,Xgboost,is_preceded_by,Interface_(computing),0.708647691,26,Q23793561,Q23808
17,Xgboost,is_preceded_by,Random_variable,0.675040355,26,Q23793561,Q176623
18,Xgboost,is_preceded_by,ChatGPT,0.729622969,26,Q23793561,Q115564437
19,Xgboost,is_preceded_by,linear_algebra,0.63498497,23,Q23793561,Q82571
20,Xgboost,is_preceded_by,Algebra,0.661137685,23,Q23793561,Q3968
21,Xgboost,is_preceded_by,Data_(computing),0.54718379,19,Q23793561,Q494756
22,Xgboost,is_preceded_by,Control_flow,0.575019786,19,Q23793561,Q868299
23,Xgboost,is_preceded_by,Conditional_probability,0.558377054,18,Q23793561,Q327069
25,Xgboost,is_preceded_by,Arithmetic,0.550463465,18,Q23793561,Q11205
26,Xgboost,is_preceded_by,basic_statistics,0.547792117,18,Q23793561,Q12483
136,Computer_graphics,is_preceded_by,Programming_language,0.913234588,78,Q7600677,Q9143
139,Computer_graphics,is_preceded_by,Computational_geometry,0.825494617,51,Q7600677,Q874709
140,Computer_graphics,is_preceded_by,Computational_science,0.824199149,47,Q7600677,Q117801
141,Computer_graphics,is_preceded_by,Data_(computing),0.806631132,44,Q7600677,Q494756
142,Computer_graphics,is_preceded_by,Computational_complexity_theory,0.798380785,43,Q7600677,Q205084
143,Computer_graphics,is_preceded_by,Analysis_of_algorithms,0.783988025,37,Q7600677,Q333464
145,Computer_graphics,is_preceded_by,Computation,0.775835255,35,Q7600677,Q12525525
146,Computer_graphics,is_preceded_by,Number_theory,0.774054668,34,Q7600677,Q12479
147,Computer_graphics,is_preceded_by,Artificial_intelligence,0.753790538,33,Q7600677,Q11660
